frame_path,source_dataset,source_label,source_video_path,standing,sitting,lying_down,crouching,arms_raised,walking,running,jumping,cycling,driving,dancing,playing,working,eating,drinking,exercising,still,moving,fast_motion,falling
data/external/actions/ucf101_frames_debug/apply_eye_makeup/v_ApplyEyeMakeup_g01_c02_frame_000041.jpg,ucf101,apply_eye_makeup,data\external\actions\UCF101\ApplyEyeMakeup\v_ApplyEyeMakeup_g01_c02.avi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
data/external/actions/ucf101_frames_debug/apply_eye_makeup/v_ApplyEyeMakeup_g01_c02_frame_000082.jpg,ucf101,apply_eye_makeup,data\external\actions\UCF101\ApplyEyeMakeup\v_ApplyEyeMakeup_g01_c02.avi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
data/external/actions/ucf101_frames_debug/apply_eye_makeup/v_ApplyEyeMakeup_g01_c04_frame_000078.jpg,ucf101,apply_eye_makeup,data\external\actions\UCF101\ApplyEyeMakeup\v_ApplyEyeMakeup_g01_c04.avi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
data/external/actions/ucf101_frames_debug/apply_eye_makeup/v_ApplyEyeMakeup_g01_c04_frame_000156.jpg,ucf101,apply_eye_makeup,data\external\actions\UCF101\ApplyEyeMakeup\v_ApplyEyeMakeup_g01_c04.avi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
data/external/actions/ucf101_frames_debug/apply_eye_makeup/v_ApplyEyeMakeup_g02_c01_frame_000056.jpg,ucf101,apply_eye_makeup,data\external\actions\UCF101\ApplyEyeMakeup\v_ApplyEyeMakeup_g02_c01.avi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
data/external/actions/ucf101_frames_debug/apply_eye_makeup/v_ApplyEyeMakeup_g02_c01_frame_000113.jpg,ucf101,apply_eye_makeup,data\external\actions\UCF101\ApplyEyeMakeup\v_ApplyEyeMakeup_g02_c01.avi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
data/external/actions/ucf101_frames_debug/apply_eye_makeup/v_ApplyEyeMakeup_g02_c04_frame_000056.jpg,ucf101,apply_eye_makeup,data\external\actions\UCF101\ApplyEyeMakeup\v_ApplyEyeMakeup_g02_c04.avi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
data/external/actions/ucf101_frames_debug/apply_eye_makeup/v_ApplyEyeMakeup_g02_c04_frame_000113.jpg,ucf101,apply_eye_makeup,data\external\actions\UCF101\ApplyEyeMakeup\v_ApplyEyeMakeup_g02_c04.avi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
data/external/actions/ucf101_frames_debug/apply_eye_makeup/v_ApplyEyeMakeup_g04_c07_frame_000052.jpg,ucf101,apply_eye_makeup,data\external\actions\UCF101\ApplyEyeMakeup\v_ApplyEyeMakeup_g04_c07.avi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
data/external/actions/ucf101_frames_debug/apply_eye_makeup/v_ApplyEyeMakeup_g04_c07_frame_000105.jpg,ucf101,apply_eye_makeup,data\external\actions\UCF101\ApplyEyeMakeup\v_ApplyEyeMakeup_g04_c07.avi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
data/external/actions/ucf101_frames_debug/apply_eye_makeup/v_ApplyEyeMakeup_g05_c03_frame_000052.jpg,ucf101,apply_eye_makeup,data\external\actions\UCF101\ApplyEyeMakeup\v_ApplyEyeMakeup_g05_c03.avi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
data/external/actions/ucf101_frames_debug/apply_eye_makeup/v_ApplyEyeMakeup_g05_c03_frame_000105.jpg,ucf101,apply_eye_makeup,data\external\actions\UCF101\ApplyEyeMakeup\v_ApplyEyeMakeup_g05_c03.avi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
